route_idx,route_name,svc,region_idx,region,sort_idx,carriers,port_rotation,frequency,duration,ships,updated_at
1,China-Japan 1 (CJ1) / China-Korea-Japan (CJ1) - China leg,CJ1,1,K/C/J,1,CK Line / Pancon,"Ningbo,Shanghai,Busan,Niigata,Toyama,Kanazawa,Ulsan,Busan,Kwangyang,Ningbo",7,14,"2 x 1,009 teu",
2,Korea-North China-Japan service (CKJ) - China leg,CKJ/CKJ1,2,K/C/J,1,KMTC,"Xingang,Dalian,Pohang,Busan,Naoetsu,Toyama,Niigata,Ulsan,Busan,Xingang",7,14,"2 x 1,005 teu",
3,New China Japan (NCJ) - China leg,NCJ,3,K/C/J,1,KMTC / Namsung ,"Busan,Ulsan,Kwangyang,Xingang,Qingdao,Busan,Shimizu,Onahama,Sendai,Kamaishi,Niigata,Sakaiminato,Busan",7,21,"3 x 1,049 teu",
4,New China Qingdao (NCQ) - China leg,NCQ,4,K/C/J,1,KMTC / Namsung,"Busan,Ulsan,Kwangyang,Qingdao,Dalian,Busan,Niigata,Akita,Tomakomai,Hachinohe,Sendai,Hitachinaka,Busan",7,35,"5 x 1,048 teu",
5,New Tohoku Pendulum (NTP) - China leg,NTP,5,K/C/J,1,Namsung / KMTC ,"Shanghai,Ningbo,Busan,Kawasaki,Hitachinaka,Sendai,Tomakomai,Ishikari,Sakata,Sakaiminato,Busan,Ulsan,Kwangyang,Shanghai",7,21,3 x 975 teu,
6,North China Korea (NCK) - China leg,NCK,6,K/C/J,1,Namsung / Dong Young ,"Busan,Incheon,Dalian,Yantai,Gunsan,Busan,Yokohama,Tokyo,Shimizu,Nagoya,Busan",7,14,"2 x 1,009 teu",
7,Trilateral Sea-highway PanStar Service (TSPS) - China leg,PAGE,7,K/C/J,1,Panstar,"Busan,Shidao,Busan,Tokyo,Nagoya,Busan",7,7,1 x 264 teu,
8,China-Japan 1 (CJ1) / China-Korea-Japan (CJ1) - Japan leg,CJ1,8,K/C/J,1,CK Line / Pancon,"Ningbo,Shanghai,Busan,Niigata,Toyama,Kanazawa,Ulsan,Busan,Kwangyang,Ningbo",7,14,"2 x 1,009 teu",
9,Korea-North China-Japan service (CKJ) - Japan leg,CKJ/CKJ1,9,K/C/J,1,KMTC,"Xingang,Dalian,Pohang,Busan,Naoetsu,Toyama,Niigata,Ulsan,Busan,Xingang",7,14,"2 x 1,005 teu",
10,New China Japan (NCJ) - Japan leg,NCJ,10,K/C/J,1,KMTC / Namsung ,"Busan,Ulsan,Kwangyang,Xingang,Qingdao,Busan,Shimizu,Onahama,Sendai,Kamaishi,Niigata,Sakaiminato,Busan",7,21,"3 x 1,049 teu",
11,New China Qingdao (NCQ) - Japan leg,NCQ,11,K/C/J,1,KMTC / Namsung,"Busan,Ulsan,Kwangyang,Qingdao,Dalian,Busan,Niigata,Akita,Tomakomai,Hachinohe,Sendai,Hitachinaka,Busan",7,35,"5 x 1,048 teu",
