SVC1,SVC2,T1Name,T2Name,T3Name,T1Wtp,T2Wtp,T3Wtp,T1Sch,T2Sch,T3Sch
CJ1,,HKT,BPTS,,550,750,,Sat 16 ~ Sun 08,Sat 06 ~ Sat 22,
CKJ,CKJ1,HKT,BCT,,800,196,,Wed 13 ~ Thu 10,Wed ~ Thu,Wed 08 ~ Wed 21
NCJ,,HKT,BPTS,,800,950,,Tue 04 ~ Wed 00,Wed 20 ~ Thu 22,
NCQ,,HKT,BPTS,BCT,800,1000,150,Tue 05 ~ Tue 22,Sun 17 ~ Mon 08,Fri ~ Sat
NTP,,BPTS,DGT,,950,850,,Mon 04 ~ Tue 04 Tue 05 ~ Wed 00,Thu ~ Thu,
NCK,,,,,,,,,,
PAGE,,,,,,,,,,
A04,,PNC,,,7200,,,Mon ~ Wed,,
BH2,,HPNT,,,3700,,,Thu ~ Fri,,
BH3,,HJNC,,,2240,,,Sun ~ Mon,,
BSS1,,BPTG,,,850,,,Sun 10 ~ Mon 06,,
BNJ,,BPTS,,,900,,,Sat 06 ~ Sat 18,,
JWK,,BPTG,,,450,,,Mon 21 ~ Tue 05,,
BSN,,HKT,,,800,,,Sat 05 ~ Sun 02,,
BXQ,,BPTS,,,1000,,,Sat 12 ~ Sun 09,,
RSL,,BPTG,,,400,,,Thu 09 ~ Thu 20,,
,,,,,,,,,,
AK8,,DGT,,,780,,,Mon ~ Mon,,
AK4,,HKT,DGT,,1000,,,Sun 19 ~ Mon 06,Tue,
AK6,,HKT,,,1000,,,Sun 09 ~ Mon 08,,
AK3,,HKT,HJNC,BNCT,1500,800,1600,Sun 17 ~ Mon 06,Mon ~ Tue,Tue ~ Wed
CKS1,,BPTG,,,700,,,Wed 19 ~ Thu 06,,
CNS2,,HKT,,,850,,,Sat 05 ~ Sun 02,,
CKX1,,BPTS,,,950,,,Tue 12 ~ Wed 08,,
JHTN,,BPTG,,,750,,,Sat 17 ~ Sun 02,,
TCL,,BPTS,,,200,,,Wed 08 ~ Wed 18,,
KCE2,QPX,DGT,BPTG,,1000,1800,,Sat ~ Sat,Sat 19 ~ Sun 08,
KCJ,,BPTS,,,1000,,,Fri 09 ~ Fri 21,,
TPX2,,BPTG,,,1000,,,Fri 19 ~ Sat 12,,
TPX1,YNT,BPTG,DGT,,1200,1400,,Tue 19 ~ Wed 12,Tue 18 ~ Wed 14,
,,,,,,,,,,
KQP,,BPTG,,,1000,,,Fri 09 ~ Sat 08,,
KQS,,BPTG,,,1000,,,Tue 19 ~ Wed 11,,
NBQ,,BPTG,,,850,,,Wed 19 ~ Thu 06,,
KTH,,BPTG,DGT,,1000,600,,Tue 09 ~ Tue 19,Thu ~ Fri,
KXS1,,BPTG,,,1400,,,Tue 09 ~ Wed 03,,
NKX,,BPTS,,,1150,,,Wed 09 ~ Wed 23,,
KCN1,,BPTG,,,1000,,,Wed 16 ~ Thu 02,,
KCN2,,BPTG,,,1000,,,Sat 09 ~ Sat 21,,
NTP,,BPTS,DGT,,950,850,,Mon 04 ~ Tue 04 Tue 05 ~ Wed 00,Thu ~ Thu,
NBS,,BPTG,,,750,,,Sat 04 ~ Sat 14,,
NCS,,BPTS,,,800,,,Sat 06 ~ Sat 22,,
NSC,,BPTG,,,600,,,Sun 17 ~ Mon 05,,
KNX,NSC,BPTG,,,550,600,,Fri 01 ~ Fri 12,Sun 17 ~ Mon 05,
,,,,,,,,,,
PAS,,BPTG,,,1450,,,Thu 01 ~ Thu 12,,
SPX1,,BPTG,,,2000,,,Tue 22 ~ Wed 17,,
SPX2,,BPTG,,,900,,,Sat 09 ~ Sun 08,,
CRIOCA,,,,,,,,,,
FIL,,HPNT,,,2200,,,Mon ~ Tue,,
SX2,,,,,,,,,,
CI5,,DGT,,,1850,,,Tue ~ Wed,,
CIX3,,BCT,,,2693,,,Fri ~ Sat,,
AIS,,HJNC,,,1000,,,Fri ~ Sat,,
FI3W,,PNC,,,2500,,,Thu ~ Fri,,
ACE,,BPTG,,,2200,,,Thu 14 ~ Fri 06,,
SIS2,,HJNC,,,500,,,Thu ~ Fri,,
PS3W,,HPNT,,,3000,,,Thu ~ Fri,,
FIM,,HPNT,,,5500,,,Sun ~ Mon,,
CJ1,,HKT,BPTS,,550,750,,Sat 16 ~ Sun 08,Sat 06 ~ Sat 22,
CKJ,CKJ1,HKT,BCT,,800,196,,Wed 13 ~ Thu 10,Wed ~ Thu,Wed 08 ~ Wed 21
NCJ,,HKT,BPTS,,800,950,,Tue 04 ~ Wed 00,Wed 20 ~ Thu 22,
NCQ,,HKT,BPTS,BCT,800,1000,150,Tue 05 ~ Tue 22,Sun 17 ~ Mon 08,Fri ~ Sat
NTP,,BPTS,DGT,,950,850,,Mon 04 ~ Tue 04 Tue 05 ~ Wed 00,Thu ~ Thu,
NCK,,,,,,,,,,
PAGE,,,,,,,,,,
WJP,,BCT,DGT,,100,,,TBD ~ TBD,,
BSS2,,BPTG,BCT,,450,204,,Mon 01 ~ Mon 12,Mon ~ Mon,
BJS,JPS1,BPTS,BCT,,1200,150,1150,Fri 04 ~ Fri 23,Fri ~ Fri,Fri 05 ~ Fri 23
BKS1,,HKT,BCT,DGT,800,,,Mon 08 ~ Mon 16 Thu 12 ~ Thu 20,,
BKH,,BPTS,,,900,,,Mon 23 ~ Wed 09,,
KJP,,BPTG,,,850,,,Sun 01 ~ Sun 23,,
BNX,,HJNC,,,635.2,,,Wed ~ Thu,,
BTX,,HJNC,,,1120,,,Wed ~ Thu,,
BJ1,,HKT,,,900,,,Fri 03 ~ Fri 21,,
SETO3,,BPTG,PNIT,,450,100,,Sun 04 ~ Sun 18,Sun ~ Mon,
